team,name,season_year,games_played,Volume,Qualite,Penetration,Rebonds,Finishing,RecoveryPossession,PuckExchanges,cluster,distance_to_centroid
T.B,T.B,2020-2021,56,0.37803613951712545,0.2254111791471027,0.6886910560741071,-0.18128443628020863,0.2305239723450512,0.2413173830460994,-2.6914932955866515,2,2.6711340474405443
CBJ,CBJ,2020-2021,56,-0.9352302718183076,-0.9309628349927936,1.35995612229234,-0.12637270947216153,-0.5754137722520924,-0.2937179379892592,0.7230898284171777,1,2.2576077769710974
ANA,ANA,2020-2021,56,-0.7393192389703459,-0.923277172991126,-2.208731149314296,-0.07526552096419145,0.22800173496927878,-0.6057495781708528,-1.0224082808742785,1,2.2843004502368736
CHI,CHI,2020-2021,56,-1.516600732906427,-0.6581668809572117,1.072898668253346,-1.7952924073287988,0.29139575841768767,-0.20484249193791557,1.1314524773142178,1,3.048789363782464
NYR,NYR,2020-2021,56,-0.8149074424534881,-0.19673139915705642,0.7189554128167378,-0.346792707934065,2.07027854427777,-0.07490896300882942,0.37788209234106207,4,2.21896286254916
WSH,WSH,2020-2021,56,0.005660456750807256,0.014752584985387467,-0.4673104837844355,-0.18673913530317715,2.6000618915441174,1.0757376396517127,-0.5544227411899648,2,2.0278864719211054
VGK,VGK,2020-2021,56,1.5739532717587614,1.5868347029805514,-1.5965489619502733,1.3726443031415456,0.47034351819927084,2.784731960686502,0.4738858713005119,2,3.41203783328843
PHI,PHI,2020-2021,56,0.15177054557733957,-0.0335571708283947,-0.8456594851750524,1.106495397205123,-0.1537481035643588,-0.5656384607137059,-0.7947086462470897,1,1.9884804931430122
PIT,PIT,2020-2021,56,-0.22827031606466258,-0.2022816644815099,1.2096882107812212,-0.5270869825010173,2.162691319960014,1.871040739758513,0.6033379636293759,4,3.3968855227791934
BUF,BUF,2020-2021,56,-0.9209084730383882,-0.08281421015042197,0.8646210486563021,0.0019377999058118958,-2.000111047301737,0.16936204209973968,0.9729099735656123,3,2.1671815169374335
COL,COL,2020-2021,56,3.160952426470088,-0.04203710248972784,-1.283293044507799,1.9530939959864464,0.5847518615636361,0.9678524134970472,0.25592991727161174,2,3.764982560866026
N.J,N.J,2020-2021,56,2.3896327908136682e-4,0.04875088745211069,-0.6267346161676502,-0.5463851026503005,-1.2167983597240055,0.36320674903149264,2.8730034042648693,3,3.1561079136559003
FLA,FLA,2020-2021,56,1.3894621724394338,-0.3439318995267015,2.459680358067756,0.5435789505523984,0.391066451989835,0.8792090180292876,-0.20203079816977096,1,3.15221810368784
VAN,VAN,2020-2021,56,-0.36726861617960604,0.2123358677738834,0.41065814687149943,-0.46417889057178496,-0.47589882339451617,-0.09613371668969829,0.517534968079696,1,1.3368064350051518
CAR,CAR,2020-2021,56,1.45385756609494,0.5384568258094983,-0.4760114982745885,1.7438597018153599,-2.1070506464571843,-0.4416753286614904,-0.8819477753210369,2,3.1740089309419846
L.A,L.A,2020-2021,56,-0.6665695356010176,-1.0276387064592098,-0.005354403736689318,0.8364185798645773,-0.05645388542006032,-1.259554299771081,-0.4611130373543284,1,1.7328423329191969
BOS,BOS,2020-2021,56,1.354909418654462,-1.6485121411011254,1.1327820340796178,-0.7580297943514211,-0.08300509147602156,1.5390315998461377,-1.4042910361120984,4,3.3813761768982067
MIN,MIN,2020-2021,56,-0.8957207168399564,1.8660396668705743,0.16427289319258792,1.9279599081438277,1.6731217627962416,0.108458469450242,0.31600303301504856,4,3.429465484038788
WPG,WPG,2020-2021,56,-0.5154388079658864,0.4713014287040519,0.028697632998572434,-0.6041892364351117,-0.05097980052161981,-0.35199510007409757,0.4997532081294784,1,1.5917554693625668
S.J,S.J,2020-2021,56,-0.14903562659294248,0.62475709154373,-0.1340033943968336,1.7419884064948268,-0.6866706997070817,1.8885957563950646,-0.2563948493450567,2,2.8011293800944927
CGY,CGY,2020-2021,56,0.7885854067091418,0.10077932051655632,-0.9806287091730084,-0.65416084911829,-0.013095591885075255,-0.2958455002372983,0.9209444268041569,1,1.3971342189386662
STL,STL,2020-2021,56,-1.2187148661779097,-1.2962784268933707,0.5539779647269824,-0.622153439885508,0.9254923597623194,0.5032273918218662,-0.5005319371194834,3,1.85738080078563
OTT,OTT,2020-2021,56,0.034340264372610514,-0.7331571698531488,-1.0386826686200172,0.11608844961120779,-0.2985642507273234,-0.994638540948897,-0.8291612683698454,1,1.6634322934232069
EDM,EDM,2020-2021,56,-0.08587641062822832,1.53332340998855,-0.20228137609334615,-1.0906324117109436,-0.24055110797368404,-0.32259150418819726,0.6235742096144601,1,2.285715377938291
NSH,NSH,2020-2021,56,0.11405441602030071,-0.8408190809443331,0.13914775665479617,-0.8707416779298254,-0.09235394937040102,-0.48746910536935406,-0.6555964261173567,1,1.544021306374426
MTL,MTL,2020-2021,56,1.2652618150831667,0.12287649379014752,-1.1448388687449584,-1.3651593751522466,-1.3820472617023947,-1.5041180047951737,-0.5042442960816029,1,2.7682604236155472
DAL,DAL,2020-2021,56,0.10567470261732231,-0.9468709205534691,-0.34395527187615604,0.05181066913862006,-0.3511768162389167,-1.0195090490786156,-0.5306016646560635,1,1.4712054645287482
TOR,TOR,2020-2021,56,0.7486458233897911,3.9393896104502306,0.16734649836279405,-0.5491238972833233,-0.4569256079969472,-0.7057340335527061,2.3812164831175333,4,4.282687998767529
ARI,ARI,2020-2021,56,-0.484169299186597,-0.2628719684955729,-1.5966131011306566,1.8726561928595746,-0.19231104863075182,0.4830924504665174,-0.5994145907546169,4,2.5361859033525302
DET,DET,2020-2021,56,-1.883823868380025,-0.6891481553637142,1.2295622026826476,-0.3071042981351646,-0.8452046737078227,-1.8729667643146761,-0.3789140522037639,1,2.7925019926594654
NYI,NYI,2020-2021,56,-0.4218183719547313,0.41472545699496516,0.6336992690481289,-1.1560546724290626,0.21467485135164283,-1.0772054155086452,-0.03305618648529756,1,2.155382483545157
WPG,WPG,2021-2022,82,0.07162211428383661,1.043108805805622,-0.019878524451016785,-0.16920230660204352,-1.7867086852632952,-0.7076779700362451,0.4983463864571588,1,2.1557410696441623
CBJ,CBJ,2021-2022,82,-0.42185277112261904,-0.24958754109603523,-0.9766724246905185,-0.25980372716260786,0.7588246603533264,0.5596868706943394,0.04917429393526145,1,1.360454301457444
PIT,PIT,2021-2022,82,0.7108756125609448,-0.07106051500786491,1.5586943619674083,0.48797542319851833,-0.4403052061115774,1.753065710652615,0.40034870614728657,2,2.3163672509693565
NSH,NSH,2021-2022,82,-0.1714980599462123,-0.4347143203002314,-0.9974519272153051,-0.5969217948274972,0.2879091722267934,-0.06848432052379218,-3.0109753395958347,5,2.747238878096268
VGK,VGK,2021-2022,82,1.016413965060078,0.16495738591822326,-0.07688674868129927,0.8081485592766942,-0.40508621849194343,2.038983232219319,1.2050924535946173,2,2.4671133355202404
EDM,EDM,2021-2022,82,0.6432150694221122,0.7344228972131183,-0.1690468861710565,-0.07167579574079777,-0.2955936691002222,-0.2366138044940854,0.6448551751078149,1,1.930640111215476
FLA,FLA,2021-2022,82,2.4313462829871844,2.328141127039725,0.9678134415779206,2.3747123515011173,-0.1957139414885942,0.8106024131519183,0.8957160558244096,2,4.12061656035386
OTT,OTT,2021-2022,82,-0.38418892317274145,0.5323862029866452,-0.7340939822834458,-0.42936991025268995,-1.3759344624081074,-0.5922029491781374,-1.506108894285307,1,2.0391216619939225
VAN,VAN,2021-2022,82,-0.054331971718532504,-1.0915134035076985,-0.4535947759138558,0.03923560032336648,-0.36230573048046016,0.21083068898852958,-0.2531919666686965,1,1.0840344567212667
