team,name,season_year,games_played,iceTime_minutes,input_shotAttempts_per60,input_unblockedShots_per60,input_shotsOnGoal_per60,input_xGoals_per60,input_corsi_pct,input_fenwick_pct,input_xG_per_shotAttempt,input_xG_per_unblockedShot,input_xG_per_SOG,input_pct_highDanger,input_pct_mediumDanger,input_pct_lowDanger,input_ratio_HD_LD,input_ratio_HD_MD,input_ratio_MD_LD,input_shot_completion_rate,input_unblocked_rate,input_blocked_shot_rate,input_missed_net_rate,input_rebounds_per60,input_takeaways_per60,input_giveaways_per60,input_takeaway_giveaway_ratio,input_xG_per_rebound,input_pct_xG_from_rebounds,input_penalty_differential_per60,input_penalties_taken_per60,input_faceoff_win_pct,input_hits_per60,input_zone_exit_success,output_goals_per60,output_goals_pct,output_xGoals_pct,output_ratio_GF_xG,output_shooting_pct_SOG,output_shooting_pct_unblocked,output_shooting_pct_attempts,output_shooting_pct_vs_expected,output_goals_above_expected,output_pct_goals_highDanger,output_pct_goals_mediumDanger,output_pct_goals_lowDanger,output_reboundGoals_per60,output_rebound_conversion,output_shooting_pct_HD,output_shooting_pct_MD,output_shooting_pct_LD,output_HD_goals_vs_xG,output_MD_goals_vs_xG,output_LD_goals_vs_xG
CGY,CGY,2022-2023,82,3996.25,65.29621520175164,48.255239286831404,34.38223334375978,2.894263371911167,0.57,0.57,0.04432513221430214,0.05997822028624767,0.08417903930131004,0.05942750466708152,0.18139390168014935,0.7591785936527692,0.07827868852459016,0.3276157804459691,0.2389344262295082,0.5265578293860658,0.7390204644745919,0.26097953552540815,0.2874922215308027,3.3931811072880826,7.477009696590553,8.918360963403192,0.8383838383838383,0.1904424778761062,0.22327125590081442,-0.015014075695964968,4.068814513606506,0.5062532569046378,27.20550516108852,0.5752416014726185,2.732561776665624,0.5185185185185185,0.5468031996369206,0.9482726488484646,0.0794759825327511,0.0566272557560672,0.04184870085077029,-0.00470305676855895,-10.77000000000001,0.2032967032967033,0.4065934065934066,0.3901098901098901,0.49546449796684394,0.14601769911504425,0.193717277486911,0.1269296740994854,0.029098360655737704,0.7019540884082717,1.0390339792193204,1.0313771063335269
EDM,EDM,2022-2023,82,3989.366666666667,57.24216876530109,42.78874675178182,31.463640845246946,2.8992571920354946,0.52,0.52,0.050648975302154495,0.06775746924428823,0.09214627151051626,0.06080843585237258,0.23690685413005272,0.7022847100175746,0.08658658658658659,0.25667655786350146,0.33733733733733734,0.5496584340514976,0.7475039411455596,0.2524960588544404,0.2646748681898067,2.466556930506931,9.008948788863728,10.873906468027506,0.8284923928077456,0.20158536585365855,0.17149971468589512,-0.07519990641789423,4.181114796834919,0.5016163793103449,26.47036705909877,0.5111223458038423,2.902716387730717,0.5331491712707183,0.5403655323204575,0.9866454083058361,0.09225621414913958,0.06783831282952549,0.050709406200735684,1.0994263862332265e-4,0.22999999999998977,0.13989637305699482,0.43005181347150256,0.43005181347150256,0.24063970053726158,0.0975609756097561,0.15606936416184972,0.12314540059347182,0.04154154154154154,0.582901554404145,0.9940119760479041,1.3187162376866859
CHI,CHI,2022-2023,82,4096.733333333334,47.21810873704252,35.325706660591365,25.16151079722055,2.1650908854209048,0.44,0.44,0.0458529776674938,0.0612893864013267,0.0860477299185099,0.06467661691542288,0.1828358208955224,0.7524875621890548,0.0859504132231405,0.35374149659863946,0.24297520661157024,0.53287841191067,0.7481389578163772,0.2518610421836228,0.2877280265339967,2.211518120128232,8.494572911750826,9.812696294608712,0.8656716417910447,0.21006622516556292,0.2145707907731854,0,3.500349872255944,0.5224137931034483,27.02152934858668,0.5563953488372093,1.991830889651918,0.3953488372093023,0.42576538694162036,0.9285603041834665,0.07916181606519208,0.05638474295190713,0.04218362282878412,-0.006885913853317813,-11.830000000000013,0.2647058823529412,0.34558823529411764,0.3897058823529412,0.3222079380319279,0.1456953642384106,0.23076923076923078,0.10657596371882086,0.029201101928374655,0.8289201013124569,0.8489884393063584,1.0805300713557595
ANA,ANA,2022-2023,82,4059.4166666666665,48.79026132654527,36.43380617083735,26.634368649025927,2.176568883049699,0.43,0.42,0.044610724023023324,0.05974036511156186,0.08172031076581575,0.05070993914807302,0.19797160243407708,0.7513184584178499,0.06749460043196544,0.25614754098360654,0.2634989200863931,0.5458951832777946,0.7467434110875493,0.2532565889124508,0.2689655172413793,2.601358980149036,5.601790076570936,8.203149056719973,0.6828828828828829,0.18732954545454544,0.22388971886459325,-0.6059983987847187,4.404573727752346,0.46061597165440177,17.94346478352801,0.5493612078977933,2.1283846201219387,0.391304347826087,0.3997502578858787,0.9788720334929643,0.07991120976692564,0.05841784989858012,0.04362314450166616,-0.0018091009988901036,-3.259999999999991,0.1875,0.3819444444444444,0.4305555555555556,0.3547307700203231,0.13636363636363635,0.216,0.11270491803278689,0.03347732181425486,0.7754164273406089,0.9125601460096233,1.1881947106170947
PIT,PIT,2022-2023,82,3961.1666666666665,62.34526864980856,46.39542222409223,33.44469222030547,3.091059031430134,0.52,0.52,0.049579689018464525,0.06662422461638916,0.09242300724637681,0.06953966699314397,0.21710741103493308,0.7133529219719229,0.09748283752860412,0.32030075187969925,0.30434782608695654,0.5364431486880467,0.7441690962099126,0.25583090379008744,0.2791380999020568,3.6504396852779064,8.467202423528422,10.07279000294526,0.8406015037593985,0.20248962655601657,0.23913363061694515,0.16661757899608703,3.862498422182017,0.522852422907489,31.884545798796648,0.5258741258741259,2.544704842849329,0.49266862170087977,0.5331260776425101,0.9241127800003075,0.07608695652173914,0.05484818805093046,0.04081632653061224,-0.016336050724637674,-36.06999999999999,0.20833333333333334,0.4107142857142857,0.38095238095238093,0.3483822106281819,0.0954356846473029,0.1643192488262911,0.1037593984962406,0.029290617848970253,0.603448275862069,0.8331320936971747,1.0116977552956055
WSH,WSH,2022-2023,82,4047.133333333333,56.94400975175845,41.659116741067756,29.798869982044906,2.646021051937997,0.5,0.5,0.04646706586826347,0.06351601423487545,0.08879601990049751,0.061565836298932385,0.2110320284697509,0.7274021352313167,0.08463796477495107,0.2917369308600337,0.2901174168297456,0.5233012236396771,0.7315803176256184,0.2684196823743817,0.2846975088967972,3.0391882319996046,7.560907308877065,9.829179501540185,0.7692307692307693,0.20087804878048782,0.2307261317794711,0.08895185069267136,3.8545801966824254,0.5042617541930162,27.97535704284514,0.5406946604458268,2.5796036700874696,0.4887640449438202,0.4976578184251617,0.982128737554077,0.08656716417910448,0.06192170818505338,0.0453007029419422,-0.0022288557213930305,-4.47999999999999,0.21839080459770116,0.40804597701149425,0.3735632183908046,0.4002833281170211,0.13170731707317074,0.21965317919075145,0.11973018549747048,0.031800391389432484,0.8131821099935802,0.9836519811582155,1.0911532650663085
BOS,BOS,2022-2023,82,3910.5,56.66283084004603,42.838511699271194,31.576524741081702,2.893747602608362,0.51,0.52,0.05106959111833198,0.06755014326647564,0.09164237123420797,0.05981375358166189,0.22994269340974213,0.710243553008596,0.08421583459404942,0.2601246105919003,0.3237518910741301,0.5572705117790414,0.7560249119956675,0.2439750880043325,0.2628939828080229,2.70042194092827,6.935174530111239,9.497506712696586,0.7302100161550888,0.2084659090909091,0.19453870625662778,0.10740314537782893,4.4495588799386265,0.5396182764603817,26.820099731492135,0.5652642934196332,3.068661296509398,0.6369426751592356,0.5377202486172094,1.1845242517781034,0.09718172983479106,0.07163323782234957,0.05415651232060655,0.005539358600583091,11.400000000000006,0.165,0.38,0.455,0.47564250095895666,0.17613636363636365,0.19760479041916168,0.11838006230529595,0.04589006555723651,0.7161458333333334,0.9375771033802122,1.4806378132118452
FLA,FLA,2022-2023,82,3857.0666666666666,64.54127488938053,48.129839601769916,35.12513827433628,3.116306001106195,0.54,0.53,0.04828392383706918,0.06474789915966386,0.08872010628875111,0.0643180349062702,0.20135746606334842,0.7343244990303813,0.08758802816901408,0.31942215088282505,0.27420774647887325,0.5442275247047481,0.7457218606893228,0.2542781393106773,0.27020038784744665,3.3289546460176993,7.23347621681416,9.022400442477876,0.8017241379310345,0.21757009345794392,0.23241651275395597,-0.04666758849557522,4.946764380530973,0.485054347826087,24.827157079646017,0.5235211923614346,2.971169800884956,0.5441595441595442,0.5363731291333101,1.014516788040474,0.0845881310894597,0.06173238526179703,0.0460351892022174,-0.004131975199291413,-9.330000000000013,0.19895287958115182,0.3769633507853403,0.42408376963350786,0.497787610619469,0.14953271028037382,0.19095477386934673,0.11556982343499198,0.035651408450704226,0.6792992491955667,0.9196576829735598,1.2256014525646846
NSH,NSH,2022-2023,82,3964.85,54.38793396975926,39.557612520019674,27.844685170939634,2.7479980327124607,0.47,0.47,0.05052587646076795,0.06946824789594491,0.09869021739130435,0.0703902065799541,0.21537872991583779,0.7142310635042081,0.09855382967327263,0.3268206039076377,0.3015532940546331,0.5119643850862549,0.7273233166388425,0.27267668336115747,0.29609793420045905,2.966064289947917,7.1276340845177,8.56526728627817,0.8321554770318021,0.22714285714285715,0.2451676854452338,-0.22699471606744268,4.343165567423736,0.5307874481941978,31.779260249441972,0.5266106442577031,2.209415236389775,0.4882943143812709,0.47711508145034154,1.0234308940663677,0.07934782608695652,0.0558530986993114,0.04062326099053979,-0.019342391304347825,-35.59,0.3013698630136986,0.3150684931506849,0.3835616438356164,0.5447873185618624,0.1836734693877551,0.2391304347826087,0.08170515097690942,0.029994643813604713,0.8376166000380735,0.6598766317601492,0.9435551811288964
NJD,NJD,2022-2023,82,4113.683333333333,62.673759526134326,45.97339772547716,33.094428756062086,3.050988368088615,0.54,0.54,0.04868047474982546,0.06636421319796955,0.09219039224327898,0.06281725888324872,0.2109771573604061,0.7262055837563451,0.08650065530799476,0.29774436090225564,0.290519877675841,0.5280428205724924,0.7335350244356528,0.26646497556434723,0.2801395939086294,3.39841423541757,7.336490817231921,9.509725671640581,0.7714723926380368,0.20360515021459227,0.22679032412276506,-0.23336750114455415,3.442170641882174,0.5028112449799197,18.59647274745666,0.49665924276169265,2.8733373578423227,0.5596590909090909,0.5602035350830209,0.9990281314917991,0.0868223887174967,0.0625,0.0458459390272283,-0.005368003525782275,-12.180000000000007,0.16751269035532995,0.4213197969543147,0.41116751269035534,0.3792221893599005,0.11158798283261803,0.16666666666666666,0.12481203007518797,0.035386631716906945,0.6007646095030038,0.9913999044433827,1.1484474691620588
