team,name,season_year,games_played,iceTime_minutes,input_shotAttempts_per60,input_unblockedShots_per60,input_shotsOnGoal_per60,input_xGoals_per60,input_corsi_pct,input_fenwick_pct,input_xG_per_shotAttempt,input_xG_per_unblockedShot,input_xG_per_SOG,input_pct_highDanger,input_pct_mediumDanger,input_pct_lowDanger,input_ratio_HD_LD,input_ratio_HD_MD,input_ratio_MD_LD,input_shot_completion_rate,input_unblocked_rate,input_blocked_shot_rate,input_missed_net_rate,input_rebounds_per60,input_takeaways_per60,input_giveaways_per60,input_takeaway_giveaway_ratio,input_xG_per_rebound,input_pct_xG_from_rebounds,input_penalty_differential_per60,input_penalties_taken_per60,input_faceoff_win_pct,input_hits_per60,input_zone_exit_success,output_goals_per60,output_goals_pct,output_xGoals_pct,output_ratio_GF_xG,output_shooting_pct_SOG,output_shooting_pct_unblocked,output_shooting_pct_attempts,output_shooting_pct_vs_expected,output_goals_above_expected,output_pct_goals_highDanger,output_pct_goals_mediumDanger,output_pct_goals_lowDanger,output_reboundGoals_per60,output_rebound_conversion,output_shooting_pct_HD,output_shooting_pct_MD,output_shooting_pct_LD,output_HD_goals_vs_xG,output_MD_goals_vs_xG,output_LD_goals_vs_xG
NYR,NYR,2023-2024,82,4041.133333333333,58.884471352920805,42.537571968259726,29.308609795931837,2.415213553953511,0.5,0.5,0.04101613716591023,0.0567783595113438,0.0824062816616008,0.05340314136125655,0.15986038394415358,0.7867364746945898,0.06787932564330079,0.33406113537117904,0.20319432120674358,0.4977307110438729,0.7223903177004538,0.27760968229954613,0.31099476439790574,2.8209908111585857,6.607057426134582,7.3197287889535945,0.9026369168356998,0.19105263157894736,0.22315116493514478,0.059389280234917595,3.800913935034726,0.5217765042979943,27.74964118976525,0.5103018687110685,2.4646551297490804,0.5015105740181269,0.4927303568183195,1.0178195174669233,0.08409321175278622,0.05794066317626527,0.041855774079677256,0.0016869300911854235,3.3300000000000125,0.1144578313253012,0.3674698795180723,0.5180722891566265,0.3414883613507762,0.12105263157894737,0.12418300653594772,0.1331877729257642,0.038154392191659274,0.4451733833177132,1.1062749365252085,1.3259327782917052
TBL,TBL,2023-2024,82,4036.0333333333333,57.32360981491728,39.855964189261734,26.967071629735468,2.46881013536393,0.51,0.5,0.043067946058091285,0.061943304737038414,0.09154906284454245,0.05930622901902275,0.18724356583364415,0.7534502051473331,0.07871287128712871,0.31673306772908366,0.2485148514851485,0.4704356846473029,0.6952800829875518,0.30471991701244816,0.3233867959716524,2.675894649036595,6.437013239071366,7.641165831137833,0.8424124513618677,0.20016666666666666,0.21695670500391404,0.23785730213658626,4.013841973554893,0.5193977996525767,27.636045291994613,0.5077081192189106,2.556965997968302,0.47513812154696133,0.4974091712343127,0.9552258965549707,0.09481808158765159,0.06415516598284222,0.044605809128630707,0.003269018743109142,5.930000000000007,0.11046511627906977,0.4476744186046512,0.4418604651162791,0.371652034588416,0.1388888888888889,0.11949685534591195,0.15338645418326693,0.03762376237623762,0.43438500228623683,1.2118350645262828,1.2922972283625234
OTT,OTT,2023-2024,82,3977.7833333333333,60.07868704093989,42.83792899730587,29.428450518923853,2.4321083350442247,0.5,0.51,0.040482048707004774,0.05677464788732395,0.08264479753972323,0.0573943661971831,0.1602112676056338,0.78239436619718306,0.07335733573357335,0.35824175824175825,0.20477047704770476,0.4898317850866181,0.7130303791112227,0.2869696208887773,0.31302816901408453,3.227928452613893,7.647475352688056,9.804455580369302,0.78,0.1914485981308411,0.25409327710245594,0.37709444539881926,4.29887667754654,0.49530315969257044,28.161413182383825,0.5036603221083455,2.4586557840003014,0.45786516853932585,0.49172028910371757,0.9311496366641672,0.08354689902614044,0.0573943661971831,0.04092392668842581,9.021014864172144e-4,1.759999999999991,0.11042944785276074,0.44785276073619634,0.44171779141104295,0.28659177850310263,0.08878504672897196,0.11042944785276074,0.16043956043956045,0.032403240324032405,0.3935286401399213,1.271555478139697,1.2394560165260802
CHI,CHI,2023-2024,82,4044.9333333333334,50.24063025348584,35.49625869400402,25.08323169726736,2.1020371163925238,0.44,0.43,0.04183938588721583,0.05921855411617217,0.08380248373743347,0.060593397409109906,0.15587129126619306,0.783535311324697,0.07733333333333334,0.38873994638069703,0.19893333333333332,0.49926188367286684,0.7065249483318571,0.2934750516681429,0.29335562055996656,2.6106734350792764,8.840689586973003,9.374690971421037,0.9430379746835443,0.21926136363636364,0.2723167031261026,-0.0741668589511158,3.7380096911362366,0.46255506607929514,26.28473481227544,0.546203649205415,1.7503378712463329,0.36875,0.4256833884049265,0.8662541457906993,0.06978119455943228,0.04931048892603427,0.034839090640684973,-0.01402128917800119,-23.710000000000008,0.22033898305084745,0.3813559322033898,0.3983050847457627,0.32633417938490955,0.125,0.1793103448275862,0.12064343163538874,0.025066666666666668,0.6062019118675682,0.9487666034155597,0.9145748200038918
SEA,SEA,2023-2024,82,4088.733333333333,59.24084068415647,40.589587647356154,27.5146337088911,2.3175392542107582,0.51,0.5,0.03912063413425811,0.05709689081706436,0.08422933333333334,0.05386840202458424,0.16305133767172814,0.7830802603036876,0.06879039704524469,0.3303769401330377,0.2082179132040628,0.46445380232846173,0.6851622491949467,0.3148377508050533,0.32212581344902386,2.70010272129918,8.745984901599517,5.150739430304413,1.6980056980056981,0.18891304347826085,0.22009751155575252,0.2788149549167631,3.3164305163783405,0.47404255319148936,25.049322528574454,0.513674788662357,2.113123868842836,0.496551724137931,0.5096817917769315,0.9742386958866542,0.0768,0.052060737527114966,0.03567005201882586,-0.007429333333333343,-13.930000000000007,0.1527777777777778,0.3194444444444444,0.5277777777777778,0.2347915409825374,0.08695652173913043,0.1476510067114094,0.10199556541019955,0.03508771929824561,0.5456349206349206,0.8114305874051861,1.247537754432042
NSH,NSH,2023-2024,82,3952.7,61.62876008804108,44.536645837022796,30.92063652693096,2.796367040250968,0.51,0.52,0.0453743842364532,0.06278800272665304,0.09043691703485518,0.06475800954328562,0.18029993183367415,0.7549420586230402,0.08577878103837472,0.3591682419659735,0.23882618510158013,0.5017241379310344,0.7226600985221675,0.2773399014778325,0.3057259713701431,3.2635919751056237,8.4246211450401,9.608621954613302,0.8767772511848341,0.20223255813953486,0.23602214743241776,0.2884104536139854,4.007387355478534,0.509518477043673,30.313456624585726,0.5112386417981827,2.550155589849976,0.5185185185185185,0.5293830282479381,0.9794770343027861,0.08247422680412371,0.05725971370143149,0.041379310344827586,-0.00796269023073147,-16.22,0.24404761904761904,0.34523809523809523,0.4107142857142857,0.4402054292002935,0.13488372093023257,0.21578947368421053,0.10964083175803403,0.031151241534988713,0.7557603686635944,0.8590047393364929,1.105060858424087
CBJ,CBJ,2023-2024,82,4085.6,58.875073428627374,41.501860191893485,28.460935970236932,2.4235852751125906,0.48,0.47,0.04116487902220005,0.058397027600849256,0.0851547987616099,0.058386411889596604,0.16206652512384997,0.7795470629865534,0.07489786654561961,0.36026200873362446,0.2078983204720835,0.4834123222748815,0.7049139436268396,0.2950860563731604,0.31422505307855625,3.3777168592128453,6.226747601331506,5.771490111611514,1.078880407124682,0.17195652173913042,0.23965339635217836,-0.2349716075974153,3.7154885451341295,0.4738292011019284,22.116702565106717,0.5040650406504065,2.57000195809673,0.4716981132075472,0.4507907891502089,1.0463792175007633,0.09029927760577916,0.061924982307147915,0.04365178348715391,0.005144478844169256,9.969999999999999,0.17142857142857143,0.38285714285714284,0.44571428571428573,0.2790287840219307,0.08260869565217391,0.18181818181818182,0.1462882096069869,0.035406264185202,0.6623978803267829,1.1752324153657254,1.2434241989478718
VAN,VAN,2023-2024,82,3968.366666666667,56.74374847754324,40.33901437199183,26.686042116403897,2.5420534056832786,0.51,0.51,0.044798827604583,0.06301724137931035,0.09525779036827195,0.07196401799100449,0.17091454272863568,0.7571214392803598,0.09504950495049505,0.42105263157894735,0.22574257425742575,0.4702904343192113,0.7108979483080202,0.2891020516919797,0.338455772113943,2.978555409026384,6.108306524094716,6.304860941949248,0.9688249400479616,0.2131979695431472,0.24980669719859633,0.04535871181258452,3.946207927694853,0.5188235294117647,30.632250044098743,0.5272919978802332,2.827359702984435,0.5753846153846154,0.5224998446143329,1.1012149023878042,0.10594900849858357,0.07008995502248876,0.049826805222488675,0.010691218130311625,18.870000000000005,0.18716577540106952,0.36363636363636365,0.44919786096256686,0.4384675475216504,0.14720812182741116,0.18229166666666666,0.14912280701754385,0.041584158415841586,0.6545726575649897,1.187565490743975,1.4634146341463414
MIN,MIN,2023-2024,82,3961.8333333333335,56.26183164359934,39.845189516637916,27.09351731100921,2.325741449665559,0.5,0.5,0.04133781965006729,0.058369441277080956,0.08584125209614309,0.048270619536297986,0.1862409730140631,0.765488407449639,0.06305858987090368,0.25918367346938775,0.24329692154915591,0.48156123822341856,0.7082099596231494,0.2917900403768506,0.3200304066894717,2.3322535863026377,6.330402591392874,6.542425644693114,0.9675925925925926,0.2048051948051948,0.20537865468515987,-0.12115603045727988,4.482773126919356,0.46297896859694615,22.2927096041395,0.5108583247156153,2.4079761053384376,0.4937888198757764,0.5093701283624664,0.9694106355691073,0.0888764673001677,0.06043329532497149,0.04279946164199192,0.0030352152040246105,5.430000000000007,0.13836477987421383,0.48427672955974843,0.37735849056603776,0.24231206091455976,0.1038961038961039,0.1732283464566929,0.15714285714285714,0.029791459781529295,0.6131549609810479,1.263537906137184,1.0572687224669604
NYI,NYI,2023-2024,82,4130.933333333333,56.87818733458136,41.39500355044864,28.831256858821256,2.4993867406881414,0.47,0.48,0.04394279877425945,0.06037894736842106,0.08669017632241814,0.06982456140350878,0.16912280701754387,0.7610526315789473,0.09174734900875979,0.41286307053941906,0.2222222222222222,0.5068947906026557,0.7277834525025536,0.2722165474974464,0.30350877192982456,3.442321347879414,6.695823381318185,8.482344587179652,0.7893835616438356,0.20367088607594938,0.28050906555090654,0.2614421276870441,3.0211090310502873,0.5103655210038188,28.453618229939966,0.5270599707459775,2.4110773997805177,0.5123456790123457,0.4997386304234187,1.025227284467173,0.0836272040302267,0.05824561403508772,0.042390194075587334,-0.003062972292191435,-6.0800000000000125,0.1746987951807229,0.35542168674698793,0.46987951807228917,0.34858950358272545,0.10126582278481013,0.1457286432160804,0.12240663900414937,0.035961272475795295,0.5242227042660882,0.970714050674564,1.3933547695605575
PIT,PIT,2023-2024,82,4007.516666666667,62.8668626872003,44.990455435826846,31.336114218697364,2.809470536616608,0.51,0.51,0.044689211717075496,0.06244592346089851,0.08965599617773531,0.06821963394342762,0.1767054908485857,0.7550748752079867,0.09034817100044072,0.3860640301318267,0.23402379903040987,0.4984520123839009,0.7156465825196475,0.2843534174803525,0.30349417637271214,3.548332092609305,8.98311922179571,8.294413414791372,1.0830324909747293,0.19877637130801687,0.25105249134026114,0.08983119221795709,3.5633039579789645,0.5452091767881242,22.382938727640976,0.5082116788321168,2.679963901169053,0.50997150997151,0.5149560922063666,0.9903203742798734,0.08552317247969422,0.05956738768718802,0.04262919742795904,-0.004132823698041091,-8.650000000000006,0.16759776536312848,0.30726256983240224,0.5251396648044693,0.35932476887182835,0.10126582278481013,0.14634146341463414,0.10357815442561205,0.041427941824592335,0.5184033177812338,0.8320726172465961,1.4761306532663316
COL,COL,2023-2024,82,3968.1,63.52158463748393,44.545248355636204,31.360096771754744,2.8211990625236263,0.53,0.52,0.04441323494406094,0.06333333333333334,0.08996142719382835,0.058384249830278345,0.2043448744059742,0.7372708757637475,0.07918968692449356,0.2857142857142857,0.27716390423572745,0.4936919781004523,0.7012616043799096,0.29873839562009047,0.29599456890699255,2.8124291222499433,8.10463445981704,7.575413926060332,1.0698602794411178,0.20801075268817204,0.20736413334762566,0.1209646934301051,3.8708701897633633,0.4811269146608315,23.52763287215544,0.49481132075471695,2.963634989037575,0.5384615384615384,0.5215665446006765,1.0323927867608862,0.09450337512054002,0.06653088934147998,0.04665555820042847,0.00454194792671167,9.419999999999987,0.12244897959183673,0.4336734693877551,0.44387755102040816,0.332652906932789,0.11827956989247312,0.13953488372093023,0.14119601328903655,0.04005524861878453,0.4963805584281282,1.1447811447811447,1.3597999374804628
WPG,WPG,2023-2024,82,4044.7833333333333,59.38018929732536,43.3743875856556,29.816182984667492,2.5317054477578114,0.51,0.51,0.042635523357481886,0.05836867305061559,0.08491044776119402,0.05506155950752394,0.17305061559507523,0.7718878248974008,0.07133362871067789,0.3181818181818182,0.22419140451927339,0.5021234074444166,0.7304521608793405,0.2695478391206595,0.3125854993160055,3.129957517295941,6.512091706601508,6.912607597440324,0.9420600858369099,0.2048815165876777,0.2532958340657409,0.2670105938925447,3.6194769394322726,0.4802907464355605,25.51434563862094,0.5345243843553839,2.6552720170425284,0.5966666666666667,0.5135712566201251,1.1617991836096953,0.0890547263681592,0.06121751025991792,0.04471646265301024,0.004144278606965174,8.330000000000013,0.18435754189944134,0.37988826815642457,0.43575418994413406,0.4598515783704936,0.14691943127962084,0.20496894409937888,0.13438735177865613,0.034559149313247675,0.725753243897075,1.059850374064838,1.2776412776412778
DET,DET,2023-2024,82,4001.5666666666666,53.319116679300606,38.070089215057436,26.40465817554791,2.1888427032745508,0.46,0.46,0.04105174353205849,0.057495076801890505,0.0828960817717206,0.05474596297755022,0.15833005120126034,0.7869239858211895,0.06956956956956957,0.34577114427860695,0.2012012012012012,0.4952193475815523,0.7140044994375703,0.28599550056242967,0.3064198503347775,2.563995768324073,5.907686156255467,7.49706365007039,0.788,0.2045029239766082,0.23955336347444856,0.4348296917040826,3.928461352636884,0.5034693311129614,22.92602064191525,0.5385035499726926,2.683948786725199,0.48509485094850946,0.45928769192046304,1.0561895288770673,0.10164679159568427,0.07050019692792438,0.050337457817772775,0.018750709823963665,33.02000000000001,0.16201117318435754,0.35195530726256985,0.4860335195530726,0.404841437103801,0.15789473684210525,0.20863309352517986,0.15671641791044777,0.04354354354354354,0.7299270072992702,1.2577360750648832,1.5491452991452992
CAR,CAR,2023-2024,82,4028.9333333333334,70.15752721977694,49.78488930072476,32.00350795909588,2.793344805903961,0.6,0.59,0.03981532583315644,0.05610828597068501,0.08728245695672406,0.05234819024827999,0.16183069099611128,0.7858211187556088,0.06661591168633423,0.3234750462107209,0.20593833269889608,0.4561664190193165,0.7096157928253025,0.29038420717469754,0.3571642237511217,3.73796207432902,7.461031869477447,8.488599132938413,0.8789473684210526,0.15999999999999998,0.21410673348616516,-0.04467683754178112,3.767746632690207,0.5230402542372882,19.121686467882316,0.46525176862255513,2.516795181520336,0.5365079365079365,0.5596598537968074,0.9586321635689872,0.07864122847836202,0.05055339515405324,0.035873487582254296,-0.008641228478362031,-18.569999999999993,0.21301775147928995,0.33727810650887574,0.44970414201183434,0.3276301419730615,0.08764940239043825,0.2057142857142857,0.10536044362292052,0.02893033878949372,0.7393715341959335,0.8526551982049365,1.0551159239205887
NJD,NJD,2023-2024,82,3985.5666666666666,60.789348231535456,42.799434626611024,29.401088929219597,2.807480324838793,0.52,0.51,0.04618375433382863,0.0655962011959198,0.09548899129544292,0.0784382694336968,0.17059444249032713,0.7509672880759761,0.10444964871194379,0.45979381443298967,0.22716627634660422,0.4836552748885587,0.704061416542843,0.295938583457157,0.31304959549771366,3.7936888940928517,7.2712370470113,8.129333344484682,0.8944444444444445,0.21607142857142858,0.2919727599335085,-0.18065185209965962,3.823797536109462,0.5355436920483282,23.424523488922528,0.5388059701492537,2.664614818469979,0.4889502762430939,0.5182005112815383,0.9435542142440057,0.09062980030721966,0.06225817798100598,0.043833580980683504,-0.004859190988223253,-9.490000000000009,0.21468926553672316,0.3785310734463277,0.4067796610169492,0.40646666722423413,0.10714285714285714,0.17040358744394618,0.13814432989690723,0.03372365339578454,0.5875077303648731,1.077690204278591,1.2070410729253982
WSH,WSH,2023-2024,82,4104.166666666667,53.31654822335025,36.89908629441624,24.69197969543147,2.331191878172589,0.47,0.46,0.043723608445297504,0.06317749603803487,0.09441089402013025,0.06259904912836767,0.18898573692551507,0.7484152139461173,0.08364213869772366,0.3312368972746331,0.2525145579671784,0.46312037290924046,0.6920756786399781,0.30792432136002196,0.330824088748019,3.157766497461929,7.9528934010152295,8.93238578680203,0.8903436988543372,0.20175925925925925,0.27329737865295367,0.05847715736040609,3.377055837563452,0.4617996604414261,25.803045685279187,0.5008138903960934,2.090558375634518,0.449685534591195,0.4743292283895532,0.9480451713211334,0.08466548253404381,0.05665610142630745,0.03921030984370716,-0.009745411486086444,-16.460000000000008,0.17482517482517482,0.40559440559440557,0.4195804195804196,0.3508629441624366,0.1111111111111111,0.15822784810126583,0.12159329140461216,0.03176283748014823,0.5477651183172656,0.9658617818484596,1.1158638646085177
ANA,ANA,2023-2024,82,3874.4,51.78608300640099,37.52322940326244,25.81561015899236,2.239469337187694,0.46,0.46,0.043244617224880384,0.059682212133718535,0.08674865026994602,0.06190672719768882,0.16260833677259595,0.7754849360297152,0.07982969664715274,0.38071065989847713,0.20968600319318786,0.49850478468899523,0.7245813397129187,0.27541866028708134,0.3120099050763516,2.5087755523435886,6.457774106958497,7.386950237456122,0.8742138364779874,0.22796296296296295,0.25537652997717997,-1.1614701631220317,5.621515589510634,0.469251741896395,27.58104480693785,0.5414301929625426,1.9667561428866402,0.4219269102990033,0.4676605652933187,0.9022075873221617,0.07618476304739052,0.052414362360709864,0.03797846889952153,-0.010563887222555496,-17.610000000000014,0.2125984251968504,0.3464566929133858,0.4409448818897638,0.2942391079909147,0.11728395061728394,0.18,0.1116751269035533,0.029803086748270355,0.6274692075296304,0.8787697223886559,1.0869565217391304
BUF,BUF,2023-2024,82,4047.4166666666665,58.17043793366138,41.923037328337,29.307583026210136,2.499075542012395,0.51,0.51,0.04296126401630989,0.05961103253182461,0.08527061203844209,0.05905233380480905,0.16902404526166903,0.771923620933522,0.07650022904260192,0.3493723849372385,0.2189647274393037,0.503822629969419,0.7206931702344547,0.2793068297655454,0.3009193776520509,2.8166114188062346,6.463381992629043,6.137248038872532,1.0531400966183575,0.207,0.23330169652390553,-0.3113096831312154,3.928431715703432,0.45623039635015683,23.807778624225328,0.5097751710654936,2.594247359426795,0.5239520958083832,0.4810661187683703,1.0891477810780148,0.08851795649974709,0.06188118811881188,0.0445973496432212,0.0032473444613049934,6.4199999999999875,0.13714285714285715,0.33714285714285713,0.5257142857142857,0.4002553068829912,0.14210526315789473,0.1437125748502994,0.12343096234309624,0.04214383875400825,0.5208333333333334,1.0044262853251618,1.4429109159347553
STL,STL,2023-2024,82,4054.2166666666667,51.44273657467739,37.812483299281,26.80172495303244,2.216211105310109,0.45,0.46,0.04308112773302647,0.0586105675146771,0.08268912203202651,0.0547945205479452,0.17142857142857143,0.7737769080234833,0.07081436519979767,0.319634703196347,0.22154779969650987,0.5210011507479861,0.7350402761795167,0.26495972382048333,0.29119373776908025,2.5602973036303767,9.042437297792834,7.799287161926061,1.159392789373814,0.2053757225433526,0.2372621035058431,0.4291827850016238,3.329866435357426,0.4897546897546898,23.36826267301945,0.547840349917988,2.234710363284317,0.4748427672955975,0.44298180742493715,1.071923856322382,0.08337934842628382,0.059099804305283755,0.04344073647871116,6.902263942573095e-4,1.25,0.17218543046357615,0.3841059602649007,0.44370860927152317,0.2663893148285941,0.10404624277456648,0.18571428571428572,0.1324200913242009,0.03388973191704603,0.6544173168890008,1.0439164866810655,1.2302607418288651
