k,silhouette,sizes
2,0.18213030747978995,9-23
3,0.24026272894038916,5-11-16
4,0.22866879859798223,4-7-7-14
5,0.2393521794946702,4-4-5-7-12
6,0.23156009081331427,1-2-4-7-7-11
7,0.2190311550724729,1-2-2-4-6-7-10
8,0.2442599981201051,1-2-2-2-4-4-6-11
