cluster,n,Volume,Qualite,Penetration,Rebonds,Finishing,RecoveryPossession,PuckExchanges
1,6,0.03683603116313703,-0.21775933824086957,-0.4469485197235362,0.6662263732869844,-1.2437859483073777,0.5559633181254324,-0.18138371416144505
2,4,1.9381850783948869,0.36860530479471,-0.4643614674187382,1.8967649880078727,-0.34133347524474267,-0.6807730339264176,0.8654793148034912
3,12,-0.054812397468418504,-0.6103563860403984,-0.0876201979996089,-0.14373117337651656,0.25693681989901007,-0.368711637096702,0.16005172924996372
4,5,-1.3757955240220519,1.1035319621780406,-0.30146851416201215,-1.282055847249088,0.6123481821260516,-0.33360570282951824,0.2666037986340334
5,3,-0.02410322091692772,0.9763360804289896,2.503363001791837,-0.4370519191554347,-0.342288939509985,0.036030145183452884,-0.17107907244360285
6,2,-0.003969585635193396,-0.12321563800669874,-0.016549007216064022,-0.7556182731315342,1.532162458692475,3.219439723154705,-3.1562599375431093
