dimension,beta
Volume,0.14584658472623308
Qualite,0.12077734129633867
Penetration,0.015215842301628441
Rebonds,0.5695931031834154
Finishing,0.669658298541099
Misc_1,0.19141247929415553
Misc_2,0.14139188677435632
