season_year,cluster,cluster_name,n_teams,avg_goals_per60,sd_goals_per60,avg_xGoals_per60,avg_gf_pct
2020-2021,1,Streaky Offense,16,2.2783918899657016,0.19768530640657583,2.216322739320823,0.486650761544009
2020-2021,2,High-Octane Drive,6,2.748586457412881,0.3165517210193268,2.559105405085427,0.5723171478622797
2020-2021,3,Selective Shooting,3,2.018029005404708,0.23510183413404798,2.009391160863792,0.4372617166929963
2020-2021,4,Lane Creation,6,2.632934198545592,0.20624408243645492,2.3420886985493965,0.5468766947225097
2021-2022,1,Streaky Offense,19,2.5076582791977624,0.2705301455968805,2.467643053025711,0.49893643214971534
2021-2022,2,High-Octane Drive,5,2.948517741114779,0.297787257707074,2.832290890497366,0.5503281223673444
2021-2022,3,Selective Shooting,3,2.1863608289479903,0.10314695329362103,2.213807510308878,0.44860148460604077
2021-2022,4,Lane Creation,2,2.4802431391252258,0.2142556912818509,2.5355040904807784,0.4931981653288856
2021-2022,5,Puck Hogging & Recovery,3,2.5095180760486775,0.4279716797155154,2.5927638776008717,0.5114102014040455
2022-2023,1,Streaky Offense,23,2.4998193675348035,0.2680908386849237,2.6207528529356012,0.49904384263631407
2022-2023,2,High-Octane Drive,4,2.732982070325339,0.2436205438851705,2.712447282160156,0.5197597323078927
2022-2023,3,Selective Shooting,2,2.607627581782708,0.677751896052509,2.390973350289035,0.47732333294269313
2022-2023,4,Lane Creation,1,2.544704842849329,NA,3.091059031430134,0.49266862170087977
2022-2023,5,Puck Hogging & Recovery,2,2.7582440301270843,0.20431476751107364,2.98914011113406,0.5452370060175247
2023-2024,1,Streaky Offense,18,2.5044830854427937,0.3188360601262334,2.51444877077065,0.49936185545787665
2023-2024,2,High-Octane Drive,6,2.51042441165389,0.2558421820427498,2.7272078746856354,0.5250281575237133
2023-2024,3,Selective Shooting,5,2.2694602666189256,0.313597638936144,2.351540742046857,0.47394495803035563
2023-2024,4,Lane Creation,2,2.7635264579105083,0.1125398218523305,2.424525118424576,0.5157868620939731
2023-2024,5,Puck Hogging & Recovery,1,2.501706086985469,NA,2.4747415902395176,0.4785100286532951
2024-2025,1,Streaky Offense,21,2.3576508764331208,0.24562988393736343,2.4443986171661574,0.501318555088102
2024-2025,2,High-Octane Drive,2,2.6876830928770854,0.15052119002894818,2.6972221458141354,0.5428150021070375
2024-2025,3,Selective Shooting,4,2.261063715971932,0.15339266175879038,2.359912008852371,0.47360337772253286
2024-2025,4,Lane Creation,2,2.663323589977498,0.30514647598624295,2.6524662357031232,0.5122612948299954
2024-2025,5,Puck Hogging & Recovery,3,2.4771912505044416,0.14794964205550348,2.679407644867321,0.497816805293546
2025-2026,1,Streaky Offense,14,2.360269424227013,0.2977071550805463,2.3962571243376116,0.4838943022570987
2025-2026,2,High-Octane Drive,6,2.714194476751352,0.463245701527168,2.7624251300209903,0.5278712265461193
2025-2026,3,Selective Shooting,6,2.3844102844426702,0.2537284558122283,2.2266342282868625,0.4961700085666657
2025-2026,4,Lane Creation,2,2.240492684826538,0.313232434220276,2.49022412434874,0.49742229527794385
2025-2026,5,Puck Hogging & Recovery,4,2.6638320854327655,0.25622497741846534,2.4866743860144376,0.5209899680325166
