k,silhouette,sizes
2,0.26578266203978207,5-27
3,0.24125714809678095,5-6-21
4,0.21113413110178003,5-6-8-13
5,0.2160400383067567,1-5-6-7-13
6,0.23561738986475073,1-2-5-5-6-13
7,0.22213837068660514,1-2-2-4-5-5-13
8,0.2373762499472152,1-2-2-2-3-4-5-13
